Subject,Email_Content,Label
Tax Refund Alert,Your tax refund is ready for processing. Please verify your banking information.,1
Holiday Schedule Announcement,Please find the holiday schedule attached. Let us know if you have any questions.,0
Newsletter,Welcome to our newsletter! Enjoy exclusive monthly updates.,0
Account Verification,Verify your account information to continue using our services.,1
Exclusive Reward,Get your exclusive reward by clicking here!,1
Document Request,Can you send over the documents we discussed in the meeting yesterday?,0
Newsletter,Welcome to our newsletter! We hope you enjoy our monthly updates.,0
Subscription Expiry,"Dear user, your subscription is about to expire. Update your payment information here.",1
Lottery Win,You've won a lottery! Claim your prize by sending us your personal details.,1
Transaction Decline,Your recent transaction has been declined. Verify your details to avoid penalties.,1
Account Suspension,Urgent: Your bank account has been suspended. Log in to restore access.,1
Account Deactivation,Verify your information to continue using your service. Failure to do so will result in account deactivation.,1
Exclusive Event,Don’t miss out on our exclusive event! Here are the details you need.,0
Special Offer,Get exclusive rewards! Click this link to redeem your special offer.,1
Project Deadline,The project deadline has been moved to next Friday. Let’s meet this week to discuss it.,0
Suspicious Activity,Warning! Suspicious activity detected. Click here to secure your account.,1
Account Risk,Your account is at risk! Click here to verify your credentials immediately.,1
Order Processing,Thanks for your purchase! Your order is being processed and will be shipped soon.,0
Account Compromise,Immediate action required: Your account has been compromised.,1
Vacation Win,Congratulations! You've won a free vacation! Click to claim your prize.,1
Suspicious Login,Security alert: Suspicious login attempt detected. Verify your account immediately.    ,1
Subscription Reminder,Reminder: Your subscription is about to expire. Update your details.,0
Account Suspension Warning,Final warning: Your account will be suspended unless you act now.,1
Email Update,Verify your email address to continue receiving important updates.,0
Payment Update,Urgent: Update your payment details to avoid service disruption.,1
Refund Confirmation,Confirm your bank account information to process your refund.,1
Special Offer,Don’t miss out! Click here to redeem your special offer.,1
Payment Reminder,Reminder: Your payment for the recent transaction is overdue.,0
Account Risk,Security notice: Your account is at risk. Click to resolve.,1
Gift Card Offer,Get your gift card now! Act fast before it's too late.,1
Credit Card Decline,Your credit card payment was declined. Verify your details.,1
Exclusive Discount,Congratulations! You’ve earned an exclusive discount!,0
Special Offer,"Special offer: Buy one, get one free! Claim your discount here.",0
Urgent Message,You’ve received an urgent message from our support team. Please check it now.,1
Secure Account,Access your secure account with this link immediately.,1
Account Lock Warning,Act fast: Your account will be locked soon unless updated.,1
Unread Message Reminder,Reminder: You have an unread message from your bank.,0
Balance Update,Your account balance has been updated. Check it now.,0
Password Reset,Important: Your password needs to be reset for security reasons.,1
Payment Info Update,Last chance to update your payment info to continue using our service.,1
Suspicious Access,Security alert: Someone just tried to access your account from an unknown device.,1
Subscription Expiry,Final notice: Your subscription will expire soon.,0
Gift Card Win,Congratulations! You've won a gift card worth $1000.,1
Invoice Review,Please review the attached invoice for your recent purchase.,0
Exclusive Membership,Activate your exclusive membership now by clicking here!,1
Project Update,New project update: Click to review the recent changes.,0
Account Suspension,Urgent: Verify your account to avoid suspension.,1
Reward Claim,Congratulations! You've earned a reward! Click here to claim.,1
Account Upgrade,Special deal: Upgrade your account for exclusive benefits.,0
Account Update,Important notice: Your account details have been updated.,0
Suspicious Activity,We’ve detected suspicious activity on your account. Verify your details.,1
Payment Due,Reminder: Your payment is due today.,0
Upgrade Offer,Limited-time offer: Upgrade now and save 20%!,0
Bank Account Jeopardy,Your bank account is in jeopardy! Click here to resolve it.,1
Account Suspension,Action required: Your account has been temporarily suspended.,1
"Meeting Reminder","Dear Team, Just a reminder about our meeting tomorrow at 10 AM in the conference room. Please bring your project updates. Best, John",0
"Policy Update","Hello, We have updated our company policies. Please review the attached document and acknowledge receipt. Regards, HR Department",0
"Survey Request","Hi, We value your feedback. Please take a few minutes to complete this survey about our recent event. Thank you! Best, Event Team",0
"Account Verification","Dear User, We noticed unusual activity on your account. Please verify your identity by clicking the link below. If you did not initiate this, please contact support. Regards, Security Team",0
"Password Change Notification","Hello, Your password has been successfully changed. If you did not request this change, please contact our support team immediately. Best, IT Support",0
"Invoice Attached","Dear Customer, Please find attached the invoice for your recent purchase. If you have any questions, feel free to reach out. Regards, Billing Department",0
"Event Invitation","Hi, You are invited to our annual company event. Please RSVP by clicking the link below. We look forward to seeing you there! Best, Event Organizer",0
"System Maintenance","Dear User, Our system will undergo maintenance on Saturday from 2 AM to 4 AM. During this time, the service will be unavailable. Thank you for your understanding. Regards, IT Team",0
"Subscription Renewal","Hello, Your subscription is due for renewal. Please review the attached document for details and renew your subscription at your earliest convenience. Best, Subscription Team",0
"Job Application Update","Dear Applicant, Thank you for applying to our company. We have received your application and will review it shortly. You will be notified of the next steps soon. Regards, HR Team",0
Exclusive Offer,You've been selected for an exclusive offer! Click to learn more.,1
Unusual Activity,Security warning: Your account has been flagged for unusual activity.,1
Payment Information,Update your payment information to avoid interruption.,0
Subscription Success,Welcome! Your subscription has been successfully activated.,0
Identity Verification,Verify your identity to continue using our services.,1
Transaction Success,Congratulations on your successful transaction!,0
Refund Verification,We’ve received your refund request. Verify your details to process it.,1
Purchase Completion,Urgent: Complete your purchase to avoid losing your items.,0
Password Reset Link,Click here to reset your password and secure your account.,1
Premium Membership,Get started with your premium membership today!,0
Suspicious Activity Suspension,Your account has been temporarily suspended due to suspicious activity.,1
Bank Account Frozen,Immediate action needed: Your bank account has been frozen.,1
Prize Claim,Claim your prize by verifying your details now!,1
Transaction Review,Your recent transaction has been flagged for review.,1
Service Confirmation,Confirm your account to ensure uninterrupted service.,1
Free Gift,You've been selected to receive a free gift! Claim it now.,1
Pending Payment,You have a pending payment. Act now to complete the process.,0
Temporary Lock,Security notice: Your account has been temporarily locked.,1
Contact Info Update,Update your contact information to avoid account suspension.,1
New Offer,Your new offer is waiting! Click to learn more.,0
Account Suspension Warning,Your account will be suspended if you don't update your information.,1
Banking Verification,Urgent: Verify your banking details for account recovery.,1
Prize Notification,Congratulations! You've won a special prize!,1
Shipping Confirmation,Action needed: Confirm your shipping address for delivery.,0
Payment Info Reminder,Important: Final reminder to update your payment information.,1
Credentials Verification,Security notice: Click to verify your credentials immediately.,1
Refund Approval,Your refund has been approved! Confirm your bank details.,1
Reward Claim,Click here to claim your reward!,1
Order Confirmation Link,Please confirm your order by clicking this link.,1
Account Lock,Your account has been locked. Click here to restore access.,1
Suspicious Activity Detected,We've detected suspicious activity on your account. Act now!,1
Special Reward,You’ve earned a special reward! Click here to claim it.,1
Payment Method Update,Update your payment method to ensure continued service.,1
Account Verification,Important update: Your account needs verification.,1
Account Review,Alert: Your account is under review. Click here to confirm your details.,1
Payment Verification,Urgent: Verify your payment information or your account will be suspended.,1
Package Delay,Your package has been delayed. Click to check the details.,0
Exclusive Offer,Claim your exclusive offer before it's too late!,1
Service Disruption,Urgent: Verify your information to avoid a disruption in your service.,1
Subscription Renewal,Your subscription is about to expire. Renew now to continue enjoying our service.,0
Account Verification Deadline,Last chance! Verify your account now to keep your account active.,1
Transaction Failure,Your recent transaction was unsuccessful. Verify your payment details.,1
Shipping Details Update,Click here to update your shipping details for faster delivery.,0
Support Message,You have a new message from support. Please read it now.,0
Account Compromise Warning,Warning: Your account may be compromised. Verify your identity.,1
Bank Account Suspension,Your bank account has been temporarily suspended. Click to resolve.,1
Identity Verification,Important: Click here to verify your identity and avoid deactivation.,1
Payment Processed,Your payment has been processed. Check your receipt here.,0
Free Gift Offer,You’ve received a free gift! Click here to claim it.,1
Order Completion,Please complete your order to finalize the purchase.,1
Verification Process,Verify your details to complete the verification process.,1
Premium Offer,Special offer: Sign up now for free access to premium features.,0
Payment Overdue,Your payment is overdue. Click here to update your details.,1
Account Lock Reminder,Final reminder: Your account will be locked unless you update your payment info.,1
Account Risk Notice,Security notice: Your account is at risk. Verify now!,1
Account Restoration,Important: Your account requires urgent verification to restore access.,1
Order Tracking,Your order is on its way! Check your tracking details here.,0
Membership Renewal,Act fast: Your membership expires soon. Renew now!,0
Account Security Link,Security warning: Click here to secure your account.,1
Credit Card Compromise,Your credit card details have been compromised. Verify immediately.,1
